"Gene Name","Protein IDs","H_vs_L_log2 fold change","H_vs_L_p.val","H_vs_L_p.adj","significant","H_vs_L_significant","imputed","num_NAs","Protein.names"
"EEF1A1","P68104",-0.553,0.0219,0.0418,FALSE,FALSE,FALSE,0,"Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha"
"EEF1A2","Q05639",1.02,0.318,0.374,FALSE,FALSE,TRUE,1,"Elongation factor 1-alpha 2"
"EEF1B2","P24534",-0.568,0.0487,0.0778,FALSE,FALSE,FALSE,0,"Elongation factor 1-beta"
"EEF1D","P29692",-0.472,0.00632,0.0165,FALSE,FALSE,FALSE,0,"Elongation factor 1-delta"
"EEF1E1","O43324",-0.336,0.219,0.271,FALSE,FALSE,FALSE,0,"Eukaryotic translation elongation factor 1 epsilon-1"
"EEF1G","P26641",-0.589,0.0054,0.0149,FALSE,FALSE,FALSE,0,"Elongation factor 1-gamma"
"EEF2","P13639",-0.483,0.00968,0.0226,FALSE,FALSE,FALSE,0,"Elongation factor 2"
"EEF2K","H3BRH4",-0.432,0.151,0.198,FALSE,FALSE,FALSE,0,"Eukaryotic elongation factor 2 kinase"
"EEFSEC","P57772",-0.493,0.337,0.393,FALSE,FALSE,FALSE,0,"Selenocysteine-specific elongation factor"
"EFHA1","Q8IYU8",-0.486,0.0802,0.117,FALSE,FALSE,FALSE,0,"EF-hand domain-containing family member A1"
"EFHD2","Q96C19",-0.281,0.0653,0.0986,FALSE,FALSE,FALSE,0,"EF-hand domain-containing protein D2"
"efp","P0A6N4",0.574,0.00196,0.00742,FALSE,FALSE,FALSE,0,"Elongation factor P"
"EFTUD1","Q7Z2Z2-2",-0.46,0.0956,0.135,FALSE,FALSE,FALSE,0,"Elongation factor Tu GTP-binding domain-containing protein 1"
"EFTUD2","B4DK30",-0.471,0.0206,0.04,FALSE,FALSE,FALSE,0,"116 kDa U5 small nuclear ribonucleoprotein component"
"EGFR","P00533",-0.338,0.0652,0.0985,FALSE,FALSE,FALSE,0,"Epidermal growth factor receptor"
"EGLN1","Q9GZT9-3",-0.724,0.0542,0.0849,FALSE,FALSE,TRUE,1,"Egl nine homolog 1;Egl nine homolog 3"
"EHD1","Q9H4M9",-0.0193,0.954,0.962,FALSE,FALSE,FALSE,0,"EH domain-containing protein 1"
"EHD2","F5H559",-0.429,0.0457,0.0739,FALSE,FALSE,TRUE,1,"EH domain-containing protein 2"
"EHHADH","Q08426",-1.88,0.0778,0.114,FALSE,FALSE,TRUE,1,"Peroxisomal bifunctional enzyme;Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase;3-hydroxyacyl-CoA dehydrogenase"
"EHMT2","Q96KQ7-2",-1.69,0.171,0.22,FALSE,FALSE,TRUE,1,"Histone-lysine N-methyltransferase EHMT2"
"EI24","E9PLB8",-0.106,0.827,0.854,FALSE,FALSE,TRUE,3,"Etoposide-induced protein 2.4 homolog"
"EIF1AX","P47813",-0.812,0.0139,0.0295,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal"
"EIF2A","Q9BY44",-0.405,0.0245,0.0455,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 2A"
"EIF2AK2","P19525",-0.591,0.00241,0.00854,FALSE,FALSE,FALSE,0,"Interferon-induced, double-stranded RNA-activated protein kinase"
"EIF2B1","Q14232",-0.839,0.00801,0.0197,FALSE,FALSE,FALSE,0,"Translation initiation factor eIF-2B subunit alpha"
"EIF2B3","Q9NR50-3",-0.892,0.00374,0.0114,FALSE,FALSE,FALSE,0,"Translation initiation factor eIF-2B subunit gamma"
"EIF2B4","F5H6W1",-0.5,0.0245,0.0455,FALSE,FALSE,FALSE,0,"Translation initiation factor eIF-2B subunit delta"
"EIF2B5","E9PC74",-0.767,0.00936,0.0221,FALSE,FALSE,FALSE,0,"Translation initiation factor eIF-2B subunit epsilon"
"EIF2D","P41214",-0.873,0.0131,0.0282,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 2D"
"EIF2S1","P05198",-0.757,0.000936,0.0046,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 2 subunit 1"
"EIF2S2","P20042",-0.941,0.000851,0.00434,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 2 subunit 2"
"EIF2S3","P41091",-0.61,0.00354,0.011,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein"
"EIF3A","Q14152",-0.585,0.00468,0.0134,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit A"
"EIF3B","B4DV79",-0.48,0.0489,0.0781,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit B"
"EIF3C","B4DVQ5",-0.802,0.00644,0.0168,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit C"
"EIF3D","B4DVY1",-0.717,0.00915,0.0217,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit D"
"EIF3E","P60228",-0.39,0.0341,0.0587,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit E"
"EIF3F","B4DMT5",-0.403,0.0504,0.0799,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit F"
"EIF3G","O75821",-0.941,0.00254,0.00882,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit G"
"EIF3H","O15372",-0.279,0.611,0.658,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit H"
"EIF3I","Q13347",-0.628,0.026,0.0476,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit I"
"EIF3M","Q7L2H7",-0.514,0.0549,0.0856,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit M"
"EIF4A1","P60842",-0.338,0.0296,0.0527,FALSE,FALSE,FALSE,0,"Eukaryotic initiation factor 4A-I"
"EIF4A3","P38919",-0.355,0.0159,0.0327,FALSE,FALSE,FALSE,0,"Eukaryotic initiation factor 4A-III"
"EIF4B","E7EPC9",-0.621,0.0594,0.0913,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 4B"
"EIF4E","P06730",-0.862,0.00283,0.00953,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 4E"
"EIF4E2","O60573",0.63,0.00965,0.0226,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 4E type 2"
"EIF4G1","Q04637-4",-0.512,0.00582,0.0156,FALSE,FALSE,FALSE,0,""
"EIF4G2","P78344",-0.631,0.0457,0.074,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 4 gamma 2"
"EIF4H","Q15056-2",-0.542,0.00404,0.012,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 4H"
"EIF5","P55010",-0.518,0.00879,0.0211,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 5"
"EIF5A","P63241",-0.728,0.00628,0.0164,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-1-like"
"EIF5B","O60841",-0.781,0.000446,0.00292,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 5B"
"EIF6","P56537",-0.995,0.00225,0.0081,FALSE,FALSE,FALSE,0,"Eukaryotic translation initiation factor 6"
"elaB","P0AEH5",0.13,0.745,0.781,FALSE,FALSE,FALSE,0,"Protein elaB"
"ELAC2","Q9BQ52-4",-0.776,0.002,0.00751,FALSE,FALSE,FALSE,0,"Zinc phosphodiesterase ELAC protein 2"
"ELAVL1","Q15717",-0.56,0.006,0.0159,FALSE,FALSE,FALSE,0,"ELAV-like protein 1"
"elbB","P0ABU5",0.633,0.00628,0.0164,FALSE,FALSE,FALSE,0,"Enhancing lycopene biosynthesis protein 2"
"ELF1","E9PDQ9",-0.398,0.0571,0.0884,FALSE,FALSE,FALSE,0,"ETS-related transcription factor Elf-1"
"ELF2","B7Z8R4",-0.536,0.034,0.0587,FALSE,FALSE,FALSE,0,"ETS-related transcription factor Elf-2"
"ELL2","O00472",-0.927,0.517,0.569,FALSE,FALSE,TRUE,1,"RNA polymerase II elongation factor ELL2"
"ELMO2","Q5JVZ5",-0.753,0.0113,0.0252,FALSE,FALSE,FALSE,0,"Engulfment and cell motility protein 2"
"ELMO3","Q96BJ8",-0.19,0.488,0.541,FALSE,FALSE,FALSE,0,"Engulfment and cell motility protein 3"
"ELOVL1","B4DP24",1.51,0.104,0.144,FALSE,FALSE,TRUE,3,"Elongation of very long chain fatty acids protein 1"
"ELOVL5","E2QRH7",1.81,0.0421,0.0692,FALSE,FALSE,TRUE,4,"Elongation of very long chain fatty acids protein 5"
"ELP2","Q6IA86-2",-0.319,0.456,0.509,FALSE,FALSE,FALSE,0,"Elongator complex protein 2"
"ELP3","Q9H9T3-2",-0.69,0.017,0.0343,FALSE,FALSE,FALSE,0,"Elongator complex protein 3"
"ELP4","Q96EB1",-0.833,0.0162,0.0331,FALSE,FALSE,TRUE,1,"Elongator complex protein 4"
"EMC1","Q8N766-4",-0.271,0.179,0.23,FALSE,FALSE,FALSE,0,"ER membrane protein complex subunit 1"
"EMD","P50402",-0.405,0.123,0.166,FALSE,FALSE,FALSE,0,"Emerin"
"EMG1","Q92979",-0.525,0.00435,0.0127,FALSE,FALSE,FALSE,0,"Ribosomal RNA small subunit methyltransferase NEP1"
"EML4","B5MCW9",-0.0387,0.858,0.88,FALSE,FALSE,FALSE,0,"Echinoderm microtubule-associated protein-like 4"
"emrA","P27303",0.629,0.121,0.164,FALSE,FALSE,TRUE,1,"Multidrug resistance protein A"
"ENAH","H0YH67",-0.964,0.00494,0.0139,FALSE,FALSE,FALSE,0,"Protein enabled homolog"
"eno","P0A6P9",0.808,0.000625,0.00359,FALSE,FALSE,FALSE,0,"Enolase"
"ENO1","P06733",-0.264,0.0792,0.115,FALSE,FALSE,FALSE,0,"Alpha-enolase"
"ENO3","P13929",-0.545,0.0895,0.128,FALSE,FALSE,FALSE,0,"Beta-enolase"
"ENOSF1","Q7L5Y1",-0.747,0.194,0.245,FALSE,FALSE,FALSE,0,"Mitochondrial enolase superfamily member 1"
"entC","P0AEJ2",1.12,0.0677,0.101,FALSE,FALSE,FALSE,0,"Isochorismate synthase entC"
"ENY2","G3V117",0.0394,0.886,0.904,FALSE,FALSE,FALSE,0,"Enhancer of yellow 2 transcription factor homolog"
"EP400","Q96L91-3",-0.256,0.055,0.0857,FALSE,FALSE,FALSE,0,"E1A-binding protein p400"
"EPB41","E9PEX0",-1.94,0.0397,0.0661,FALSE,FALSE,TRUE,2,"Protein 4.1"
"EPB41L2","E9PK52",-0.618,0.0423,0.0694,FALSE,FALSE,FALSE,0,"Band 4.1-like protein 2"
"EPB41L4B","Q9NX84",0.536,0.164,0.213,FALSE,FALSE,FALSE,0,"Band 4.1-like protein 4B;Band 4.1-like protein 5"
"EPHX1","P07099",-0.335,0.164,0.213,FALSE,FALSE,FALSE,0,"Epoxide hydrolase 1"
"EPN1","Q9Y6I3-3",-0.463,0.127,0.171,FALSE,FALSE,FALSE,0,"Epsin-1"
"EPPK1","E9PPU0",-3.65,0.0309,0.0545,FALSE,FALSE,TRUE,2,""
"EPPK1.1","P58107",-0.581,0.00136,0.00581,FALSE,FALSE,FALSE,0,"Epiplakin"
"EPRS","P07814",-0.471,0.0061,0.0161,FALSE,FALSE,FALSE,0,"Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase"
"EPS15L1","A2RRF3",-0.549,0.0555,0.0863,FALSE,FALSE,FALSE,0,"Epidermal growth factor receptor substrate 15-like 1"
"era","P06616",1.33,0.144,0.191,FALSE,FALSE,TRUE,1,"GTPase Era"
"ERAL1","O75616",-0.554,0.0623,0.0949,FALSE,FALSE,FALSE,0,"GTPase Era, mitochondrial"
"ERAP1","Q9NZ08",-0.26,0.136,0.181,FALSE,FALSE,FALSE,0,"Endoplasmic reticulum aminopeptidase 1"
"ERC1","Q8IUD2-4",-0.703,0.336,0.391,FALSE,FALSE,TRUE,1,"ELKS/Rab6-interacting/CAST family member 1;ERC protein 2"
"ERCC1","B3KRR0",-1.59,0.0303,0.0536,FALSE,FALSE,TRUE,1,"DNA excision repair protein ERCC-1"
"ERCC2","P18074",-0.516,0.0484,0.0774,FALSE,FALSE,FALSE,0,"TFIIH basal transcription factor complex helicase XPD subunit"
"ERCC3","G3V1S1",-0.323,0.037,0.0627,FALSE,FALSE,FALSE,0,"TFIIH basal transcription factor complex helicase XPB subunit"
"ERCC4","Q92889",0.0188,0.877,0.897,FALSE,FALSE,FALSE,0,"DNA repair endonuclease XPF"
"ERCC5","P28715",-0.504,0.192,0.243,FALSE,FALSE,FALSE,0,"DNA repair protein complementing XP-G cells"
"erfK","P39176",0.446,0.0389,0.0651,FALSE,FALSE,FALSE,0,"Probable L,D-transpeptidase ErfK/SrfK"
"ERGIC1","Q969X5-2",-0.862,0.0843,0.122,FALSE,FALSE,FALSE,0,"Endoplasmic reticulum-Golgi intermediate compartment protein 1"
"ERGIC2","Q96RQ1",1.34,0.0911,0.13,FALSE,FALSE,TRUE,4,"Endoplasmic reticulum-Golgi intermediate compartment protein 2"
"ERH","P84090",0.109,0.843,0.868,FALSE,FALSE,FALSE,0,"Enhancer of rudimentary homolog"
"ERI1","Q8IV48",-0.583,0.0178,0.0357,FALSE,FALSE,FALSE,0,"3-5 exoribonuclease 1"
"ERI3","O43414",-1.6,0.115,0.157,FALSE,FALSE,TRUE,1,"ERI1 exoribonuclease 3"
"ERLEC1","Q96DZ1-2",0.551,0.0901,0.129,FALSE,FALSE,TRUE,1,"Endoplasmic reticulum lectin 1"
"ERO1L","Q96HE7",-0.292,0.102,0.143,FALSE,FALSE,FALSE,0,"ERO1-like protein alpha"
"ERP29","P30040",-0.534,0.0452,0.0735,FALSE,FALSE,FALSE,0,"Endoplasmic reticulum resident protein 29"
"ERP44","Q9BS26",-0.862,0.00376,0.0115,FALSE,FALSE,FALSE,0,"Endoplasmic reticulum resident protein 44"
"erpA","P0ACC3",2.41,0.0662,0.0996,FALSE,FALSE,TRUE,4,"Iron-sulfur cluster insertion protein ErpA"
"ESCO1","Q5FWF5",-0.878,0.016,0.0328,FALSE,FALSE,FALSE,0,"N-acetyltransferase ESCO1"
"ESCO2","Q56NI9",-0.724,0.359,0.415,FALSE,FALSE,TRUE,3,"N-acetyltransferase ESCO2"
"ESD","P10768",-0.593,0.00834,0.0203,FALSE,FALSE,FALSE,0,"S-formylglutathione hydrolase"
"ESF1","Q9H501",0.829,0.00103,0.00489,FALSE,FALSE,FALSE,0,"ESF1 homolog"
"ESPL1","Q14674",-0.247,0.131,0.175,FALSE,FALSE,FALSE,0,"Separin"
"ESRRA","P11474",-0.514,0.0702,0.104,FALSE,FALSE,FALSE,0,"Steroid hormone receptor ERR1"
"ESYT1","Q9BSJ8",-0.422,0.0195,0.0383,FALSE,FALSE,FALSE,0,"Extended synaptotagmin-1"
"ESYT2","H7BXI1",-0.71,0.00101,0.00485,FALSE,FALSE,FALSE,0,"Extended synaptotagmin-2"
"ETF1","P62495",-0.598,0.00227,0.00814,FALSE,FALSE,FALSE,0,"Eukaryotic peptide chain release factor subunit 1"
"ETFA","P13804",-0.754,0.00273,0.0093,FALSE,FALSE,FALSE,0,"Electron transfer flavoprotein subunit alpha, mitochondrial"
"ETFB","P38117",-0.707,0.000625,0.00359,FALSE,FALSE,FALSE,0,"Electron transfer flavoprotein subunit beta"
"ETV6","P41212",-0.21,0.482,0.535,FALSE,FALSE,FALSE,0,"Transcription factor ETV6"
"eutL","P76541",1.03,0.272,0.328,FALSE,FALSE,TRUE,2,"Ethanolamine utilization protein EutL"
"evgS","P30855",2.25,0.269,0.325,FALSE,FALSE,TRUE,1,"Sensor protein EvgS"
"EWSR1","B0QYK1",0.333,0.437,0.492,FALSE,FALSE,FALSE,0,"RNA-binding protein EWS"
"EXOC2","Q96KP1",-0.653,0.00525,0.0146,FALSE,FALSE,FALSE,0,"Exocyst complex component 2"
"EXOC3","D6RB59",0.795,0.495,0.548,FALSE,FALSE,TRUE,1,"Exocyst complex component 3"
"EXOC4","Q96A65",-0.175,0.249,0.305,FALSE,FALSE,FALSE,0,"Exocyst complex component 4"
"EXOC6","E7EW84",-2.57,0.0978,0.138,FALSE,FALSE,TRUE,2,"Exocyst complex component 6"
"EXOC7","Q9UPT5-2",-0.34,0.138,0.183,FALSE,FALSE,FALSE,0,"Exocyst complex component 7"
"EXOC8","Q8IYI6",-0.474,0.279,0.335,FALSE,FALSE,TRUE,3,"Exocyst complex component 8"
"EXOSC1","Q9Y3B2",-0.481,0.0195,0.0383,FALSE,FALSE,FALSE,0,"Exosome complex component CSL4"
"EXOSC10","Q01780",-0.641,0.00335,0.0106,FALSE,FALSE,FALSE,0,"Exosome component 10"
"EXOSC2","Q13868",-0.349,0.139,0.185,FALSE,FALSE,FALSE,0,"Exosome complex component RRP4"
"EXOSC3","Q9NQT5",-0.534,0.0113,0.0253,FALSE,FALSE,FALSE,0,"Exosome complex component RRP40"
"EXOSC4","Q9NPD3",-0.818,0.0067,0.0172,FALSE,FALSE,FALSE,0,"Exosome complex component RRP41"
"EXOSC5","Q9NQT4",-0.7,0.0662,0.0996,FALSE,FALSE,FALSE,0,"Exosome complex component RRP46"
"EXOSC6","Q5RKV6",-0.666,0.0202,0.0394,FALSE,FALSE,FALSE,0,"Exosome complex component MTR3"
"EXOSC9","D6RIY6",-0.995,0.00571,0.0154,FALSE,FALSE,FALSE,0,"Exosome complex component RRP45"
"exuR","P0ACL2",1.06,0.218,0.271,FALSE,FALSE,TRUE,2,"Exu regulon transcriptional regulator"
"EZH2","Q15910-3",-0.766,0.361,0.417,FALSE,FALSE,TRUE,1,"Histone-lysine N-methyltransferase EZH2"
"EZR","P15311",-0.392,0.0281,0.0506,FALSE,FALSE,FALSE,0,"Ezrin"
"FA2H","Q7L5A8",-1.18,0.122,0.165,FALSE,FALSE,TRUE,1,"Fatty acid 2-hydroxylase"
"FABP3","P05413",-1.57,0.228,0.282,FALSE,FALSE,TRUE,1,"Fatty acid-binding protein, heart"
"fabR","P0ACU5",0.984,0.336,0.392,FALSE,FALSE,TRUE,2,"HTH-type transcriptional repressor FabR"
"FADS1","H0YGA0",-0.036,0.92,0.933,FALSE,FALSE,FALSE,0,""
"FAF1","Q9UNN5",-0.602,0.04,0.0664,FALSE,FALSE,FALSE,0,"FAS-associated factor 1"
"FAF2","B4E2M8",-0.85,0.213,0.265,FALSE,FALSE,TRUE,3,"FAS-associated factor 2"
"FAH","P16930",0.117,0.452,0.506,FALSE,FALSE,FALSE,0,"Fumarylacetoacetase"
"FAHD1","Q6P587",-0.96,0.0863,0.124,FALSE,FALSE,TRUE,1,"Acylpyruvase FAHD1, mitochondrial"
"FAHD2A","Q96GK7",-0.93,0.00704,0.0179,FALSE,FALSE,FALSE,0,"Fumarylacetoacetate hydrolase domain-containing protein 2A;Fumarylacetoacetate hydrolase domain-containing protein 2B"
"FAM114A1","Q8IWE2",0.0138,0.934,0.945,FALSE,FALSE,FALSE,0,"Protein NOXP20"
"FAM115A","Q9Y4C2",-0.707,0.0178,0.0357,FALSE,FALSE,FALSE,0,"Protein FAM115A"
"FAM120A","Q9NZB2",-0.272,0.204,0.256,FALSE,FALSE,FALSE,0,"Constitutive coactivator of PPAR-gamma-like protein 1"
"FAM129B","Q96TA1-2",-0.0296,0.897,0.914,FALSE,FALSE,FALSE,0,"Niban-like protein 1"
"FAM203A","Q9BTY7",0.733,0.026,0.0476,FALSE,FALSE,FALSE,0,"Protein FAM203A;Protein FAM203B"
"FAM207A","Q9NSI2-2",-0.317,0.594,0.643,FALSE,FALSE,FALSE,0,"Protein FAM207A"
"FAM210A","Q96ND0",1.32,0.154,0.202,FALSE,FALSE,TRUE,1,"Protein FAM210A"
"FAM213A","Q9BRX8-2",-0.512,0.0239,0.0446,FALSE,FALSE,FALSE,0,"Redox-regulatory protein FAM213A"
"FAM3C","Q92520",-0.2,0.354,0.41,FALSE,FALSE,FALSE,0,"Protein FAM3C"
"FAM40A","Q5VSL9-2",0.175,0.647,0.69,FALSE,FALSE,TRUE,2,"Protein FAM40A;Protein FAM40B"
"FAM49B","Q9NUQ9",-0.59,0.0043,0.0126,FALSE,FALSE,FALSE,0,"Protein FAM49B"
"FAM50A","B0S8I6",-0.837,0.0312,0.0549,FALSE,FALSE,FALSE,0,"Protein FAM50A"
"FAM60A","Q9NP50",-1.25,0.0882,0.126,FALSE,FALSE,TRUE,1,"Protein FAM60A"
"FAM82B","Q96DB5",-0.27,0.254,0.309,FALSE,FALSE,FALSE,0,"Regulator of microtubule dynamics protein 1"
"FAM83A","Q86UY5-3",-0.264,0.605,0.653,FALSE,FALSE,TRUE,3,"Protein FAM83A"
"FAM91A1","Q658Y4",-0.448,0.0646,0.0977,FALSE,FALSE,FALSE,0,"Protein FAM91A1"
"FAM96B","Q9Y3D0",-0.868,0.221,0.274,FALSE,FALSE,TRUE,1,"Mitotic spindle-associated MMXD complex subunit MIP18"
"FAM98A","Q8NCA5-2",-0.427,0.0912,0.13,FALSE,FALSE,FALSE,0,"Protein FAM98A"
"FAM98B","Q52LJ0",-0.22,0.331,0.386,FALSE,FALSE,FALSE,0,"Protein FAM98B"
"FANCD2","Q9BXW9-2",-0.554,0.00411,0.0122,FALSE,FALSE,FALSE,0,"Fanconi anemia group D2 protein"
"FANCI","Q9NVI1",-0.65,0.00134,0.00576,FALSE,FALSE,FALSE,0,"Fanconi anemia group I protein"
"FAR1","E9PNW8",-0.403,0.0555,0.0863,FALSE,FALSE,FALSE,0,"Fatty acyl-CoA reductase 1"
"FARSA","Q9Y285",-0.381,0.19,0.241,FALSE,FALSE,FALSE,0,"Phenylalanine--tRNA ligase alpha subunit"
"FARSB","Q9NSD9",-0.915,0.0128,0.0277,FALSE,FALSE,FALSE,0,"Phenylalanine--tRNA ligase beta subunit"
"FASN","P49327",-0.557,0.00255,0.00884,FALSE,FALSE,FALSE,0,"Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase"
"FASTKD1","Q53R41-2",-0.192,0.42,0.475,FALSE,FALSE,TRUE,4,"FAST kinase domain-containing protein 1"
"FASTKD2","Q9NYY8-2",-1.16,0.131,0.175,FALSE,FALSE,TRUE,1,"FAST kinase domain-containing protein 2"
"FASTKD5","Q7L8L6",-0.616,0.396,0.451,FALSE,FALSE,TRUE,1,"FAST kinase domain-containing protein 5"
"FAU","P62861",-0.728,0.00661,0.0171,FALSE,FALSE,FALSE,0,"40S ribosomal protein S30"
"fbaA","P0AB71",0.936,0.000424,0.00283,FALSE,FALSE,FALSE,0,"Fructose-bisphosphate aldolase class 2"
"FBL","P22087",-0.281,0.0391,0.0653,FALSE,FALSE,FALSE,0,"rRNA 2-O-methyltransferase fibrillarin"
"FBXL18","Q96ME1-2",-0.436,0.0181,0.036,FALSE,FALSE,FALSE,0,"F-box/LRR-repeat protein 18"
"FBXO11","A1L491",-0.752,0.0745,0.11,FALSE,FALSE,TRUE,1,"F-box only protein 11"
"FBXO22","Q8NEZ5",-0.563,0.0224,0.0424,FALSE,FALSE,FALSE,0,"F-box only protein 22"
"FBXO3","Q9UK99-3",-0.564,0.0668,0.1,FALSE,FALSE,FALSE,0,"F-box only protein 3"
"FBXO30","Q8TB52",-0.93,0.1,0.141,FALSE,FALSE,TRUE,2,"F-box only protein 30"
"FBXO38","Q6PIJ6-3",-0.016,0.924,0.937,FALSE,FALSE,FALSE,0,"F-box only protein 38"
"FCHO2","E9PG79",-0.545,0.0385,0.0648,FALSE,FALSE,FALSE,0,"FCH domain only protein 2"
"FDFT1","B4DT56",-0.467,0.18,0.23,FALSE,FALSE,FALSE,0,"Squalene synthase"
"fdoH","P0AAJ5",1,0.101,0.141,FALSE,FALSE,TRUE,1,"Formate dehydrogenase-O iron-sulfur subunit"
"FDPS","E9PCI9",-0.662,0.0094,0.0221,FALSE,FALSE,FALSE,0,"Farnesyl pyrophosphate synthase"
"FDXR","P22570",-1.63,0.0664,0.0999,FALSE,FALSE,TRUE,1,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
"FEN1","P39748",-0.74,0.000813,0.00424,FALSE,FALSE,FALSE,0,"Flap endonuclease 1"
"fepB","P0AEL6",0.0474,0.974,0.978,FALSE,FALSE,TRUE,1,"Ferrienterobactin-binding periplasmic protein"
"FERMT2","Q96AC1-2",-0.746,0.154,0.202,FALSE,FALSE,FALSE,0,"Fermitin family homolog 2"
"fes","P13039",0.729,0.066,0.0994,FALSE,FALSE,TRUE,4,"Enterochelin esterase"
"ffh","P0AGD7",0.897,0.000881,0.00442,FALSE,FALSE,FALSE,0,"Signal recognition particle protein"
"FFR","Q9UID3",0.426,0.444,0.499,FALSE,FALSE,TRUE,3,"Protein fat-free homolog"
"FGF2","P09038-2",-0.143,0.615,0.662,FALSE,FALSE,FALSE,0,"Fibroblast growth factor 2"
"FH","P07954-2",-0.765,0.00603,0.016,FALSE,FALSE,FALSE,0,"Fumarate hydratase, mitochondrial"
"FHOD1","Q9Y613",-0.906,0.0251,0.0464,FALSE,FALSE,FALSE,0,"FH1/FH2 domain-containing protein 1"
"FIP1L1","Q6UN15-3",-0.598,0.0108,0.0244,FALSE,FALSE,FALSE,0,"Pre-mRNA 3-end-processing factor FIP1"
"FIS1","Q9Y3D6",-1.08,0.143,0.189,FALSE,FALSE,TRUE,4,"Mitochondrial fission 1 protein"
"FKBP11","Q9NYL4-2",-1.03,0.0709,0.105,FALSE,FALSE,TRUE,1,"Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase FKBP11"
"FKBP14","H7C1Z9",0.263,0.456,0.509,FALSE,FALSE,FALSE,0,"Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase FKBP14"
"FKBP1A","P62942",-0.575,0.0164,0.0334,FALSE,FALSE,FALSE,0,"Peptidyl-prolyl cis-trans isomerase FKBP1A;Peptidyl-prolyl cis-trans isomerase"
"FKBP2","P26885",-2.77,0.0915,0.13,FALSE,FALSE,TRUE,1,"Peptidyl-prolyl cis-trans isomerase FKBP2;Peptidyl-prolyl cis-trans isomerase"
"FKBP3","Q00688",-0.731,0.176,0.226,FALSE,FALSE,FALSE,0,"Peptidyl-prolyl cis-trans isomerase FKBP3"
"FKBP4","Q02790",-0.793,0.000921,0.00456,FALSE,FALSE,FALSE,0,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed"
"FKBP8","Q14318",-0.891,0.019,0.0374,FALSE,FALSE,FALSE,0,"Peptidyl-prolyl cis-trans isomerase FKBP8"
"FKBP9","O95302",-0.354,0.195,0.246,FALSE,FALSE,FALSE,0,"Peptidyl-prolyl cis-trans isomerase FKBP9"
"fkpA","P45523",0.875,0.000432,0.00287,FALSE,FALSE,FALSE,0,"FKBP-type peptidyl-prolyl cis-trans isomerase fkpA"
"FLAD1","Q8NFF5-3",-0.498,0.143,0.19,FALSE,FALSE,FALSE,0,"FAD synthase;Molybdenum cofactor biosynthesis protein-like region;FAD synthase region"
"FLII","Q13045",-0.39,0.0703,0.104,FALSE,FALSE,FALSE,0,"Protein flightless-1 homolog"
